<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En Root Area tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > B1 > 5to Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
1 WhatsApp abierta(en camino)
1 Amazon.Ads abierta(en camino)
1 Google.Services abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > CE > 1mer Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
1 Google.Ads abierta(en camino)
1 SSL_TLSv1.0 abierta(en camino)
1 Facebook_Video.Play abierta(en camino)
1 Google.Services abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > B1 > 6to Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
1 HTTPS.BROWSER abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > B1 > 2do Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
1 Zoom abierta(en camino)
1 Chatango abierta(en camino)
